,title,vote,genre,country,time,grade,poster_path,actor_1,actor_2,actor_3,year,month,day,content
237,탈혼이진도: 자객의 기억,관람객 평점 없음,['액션'],중국,88분,15세 관람가,https://movie-phinf.pstatic.net/20201120_62/1605860480395M5vMY_JPEG/movie_image.jpg?type=m203_290_2,진건봉, 쉬둥둥, 양준우,2020,11,26,"5대10국시기. 민국의 민왕이 살아있는 소녀들을 제물로 바치며 하늘에 제를 올리던 밤. 민왕의 조카인 과화와 남당 왕자 이명십, 향룡담 자객 청작은 민국의 보물인 ‘지옥의 불’ 위치가 그려진 지도를 빼앗기 위해 내통하여 민왕을 살해하고 백성들을 모조리 죽인다. 하룻밤 사이에 민국은 멸망하고 민왕의 심복이었던 방존의는 그 전쟁에서 기억을 잃어버린다. 민왕의 심복인 방존의가 지도에 대해 알고 있다고 생각한 이들은 그의 기억을 되살리기 위해 각자의 신분을 속이고 방존의에게 접근한다. 방존의의 기억이 조금씩 돌아오던 어느 날, 그를 보살펴주던 차 점포 행수 전말계가 납치되는 사건이 발생하고, 방존의는 그것이 그를 유인하기 위한 함정이라는 생각은 꿈에도 하지 못한 채 그녀를 찾기 위해 유명곡으로 향하는데……."
239,솔리타리,관람객 평점 없음,"['SF', '액션']",영국,89분,15세 관람가,https://movie-phinf.pstatic.net/20201127_134/1606465684011lc9G2_JPEG/movie_image.jpg?type=m203_290_2,조니 색혼, 롯티 톨허스트,,2020,12,,"우주의 캡슐에서 깨어난 아이작과 알라나범죄인 우주 식민지 이주 프로젝트에 의해개척지로 이동 중에 모선의 폭발로 난파되었다.줄어드는 산소, 탈출구도 구조대도 없다.반드시 생존하고 귀환하라!"
242,미트 페어런츠-비기닝,관람객 평점 없음,"['코미디', '드라마']",미국,91분,15세 관람가,https://movie-phinf.pstatic.net/20211012_191/163402371322338H76_JPEG/movie_image.jpg?type=m203_290_2,파시투아 아모사, 에밀리 바클레이, 레이첼 하우스,2021,10,21,"[""수목 관리 전문가인 조이는 산부인과에서 임신이라는 진단을 받자 조충 때문에 임신 양성 반응이 나오기도 한다며 의사에게 엉뚱한 소리를 늘어놓는다. 나무 타기 대회 예선에 통과한 조이가 임신한 몸으로 캐나다에서 열리는 본선에 참여하겠다고 주장하자 남자친구 팀은 말도 안 되는 소리라며 일축한다. 하지만 조이는 엄마가 되기 싫다며 나무 타기 대회 챔피언 되기, 대마초 피기 등 '아기 낳기 전에 꼭 해야 할 일'이라는 목록을 만들어 팀에게 동참하기를 강요한다., 팀은 태교 교실에 참여해 조이가 오기를 기다리지만 조이는 전혀 참여할 마음이 없고 오직 캐나다에 갈 생각으로 들떠 있다. 아빠로서 만반의 준비를 갖추고 싶은 팀과 엄마가 될 생각이 없는 조이 사이에 갈등이 커 가던 끝에 둘은 결국 헤어지게 되는데..."
246,대니 트레조의 마가리타 맨,관람객 평점 없음,['코미디'],미국,95분,전체 관람가,https://movie-phinf.pstatic.net/20201109_162/16049093079850JVv6_JPEG/movie_image.jpg?type=m203_290_2,안소니 구아자도, 레네사 샌더스, 대니 트레조,2020,12,,"[""파티에 인생을 건 대학생 '미겔'은 아버지의 학비 지원이 끊기자 퇴학당할 위기에 처한다., 학비를 마련할 방법을 궁리하던 중 미겔이 연 파티 영상이 인터넷에 퍼지고,'마가리타 맨'이라는 별명을 얻으며 일약 캠퍼스 스타로 떠오른다., 한편, 여학생 클럽 파티를 위해 마가리타 맨 섭외에 나선 티파니는 미겔의 진짜 모습을 보며 서서히 호감을 느끼게 되는데..."
247,징글 쟁글: 저니의 크리스마스,관람객 평점 없음,"['가족', '뮤지컬']",미국,122분,전체 관람가,https://movie-phinf.pstatic.net/20201118_252/1605690649904XmXAn_JPEG/movie_image.jpg?type=m203_290_2,포레스트 휘태커, 키건 마이클 키, 휴 보네빌,2020,11,13,믿었던 제자의 배신. 그 후 마법이 떠나버렸다. 한때는 빛났으나 지금은 빛을 잃은 장난감 제작자. 그에게 착하고 호기심 많은 손녀가 찾아온다. 새로운 희망이 다가온다.
248,크리스마스 연대기: 두 번째 이야기,관람객 평점 없음,"['코미디', '가족']",미국,112분,전체 관람가,https://movie-phinf.pstatic.net/20201113_157/1605256529359fG8jh_JPEG/movie_image.jpg?type=m203_290_2,커트 러셀, 골디 혼, 다비 캠프,2020,11,25,"이렇게 불행할 수가! 엄마의 연애를 봐줄 수가 없는 케이트. 혼자 집에 가려 했는데, 북극에 떨어지고 만다. 게다가 못된 엘프가 크리스마스를 없애려 음모를 꾸미고 있다."
251,스토커,관람객 평점 없음,['스릴러'],미국,86분,15세 관람가,https://movie-phinf.pstatic.net/20210723_105/1627005076306IFagO_JPEG/movie_image.jpg?type=m203_290_2,크리스틴 고,,,2021,08,12,오랜 연인과 엉망진창인 이별을 겪은 앤디 에스코베도는 새롭게 시작하기로 마음먹고 텍사스주 오스틴에서 LA로 이사한다.앤디는 낯선 도시에서 새로운 인맥을 얻으려고 다소 특이한 구석이 있는 승차 공유 기사 로저와 친구가 된다.하지만 앤디가 새로 만난 여자 친구 샘과의 연애에 푹 빠져 로저와 거리를 두기 시작하자로저는 갑자기 이상한 행동을 보이며 앤디의 목을 죄어 오는데...
256,어쌔신 프리스트 벡맨,관람객 평점 없음,['액션'],미국,97분,15세 관람가,https://movie-phinf.pstatic.net/20201102_73/1604300078501TBlob_JPEG/movie_image.jpg?type=m203_290_2,데이빗 A.R. 화이트, 제프 파헤이, 버트 영,2021,05,05,존경 받는 신부 벡맨은 암살자였던 과거를 숨기고 사이비 교단에서 탈출한 타비타를 입양하여 건실하게 살고 있다. 어느 날 사이비 교단의 습격으로 타비타는 납치되고 벡맨은 부상을 당한다. 분노한 벡맨은 다시 암살조직에 복귀해 총을 잡게 되고 교단이 고용한 킬러들과 목숨을 건 대결을 벌인다.
257,마마스 레시피,관람객 평점 없음,"['코미디', '드라마']",미국,104분,전체 관람가,https://movie-phinf.pstatic.net/20201102_262/16043025598697pKba_JPEG/movie_image.jpg?type=m203_290_2,린다 브래드쇼, 낸시 L. 그레이, 신다 도노반,2020,12,,"한마을에 사는 다섯 친구들 밀리, 수잰, 브렌다, 이본, 애미는 사기꾼의 계략에 빠져 평생 기다려 온 연금을 모두 잃게 된다.설상가상 맏언니인 수잰이 암에 걸렸다는 사실을 알게 된 다섯 친구들.수잰의 치료비를 마련하기 위해 이들은 슬픔은 훌훌 털어버리고, 베이커리 사업을 시작하게 되는데..."
258,비겁한 폭력,관람객 평점 없음,"['범죄', '스릴러']",한국,84분,청소년 관람불가,https://movie-phinf.pstatic.net/20201102_248/1604303544308P9jEF_JPEG/movie_image.jpg?type=m203_290_2,나진희,,,2020,11,11,"철현은 빚을 갚기 위해 해임을 납치해 비트코인을 빼앗으려 하고 자신에게 소홀해진 애인 연미도 창고에 감금한다.해임에게는 목적을 이루기 위한 이성적 폭력을, 연미에게는 사랑을 갈구하는 감정적 폭력을 행사하는 철현.그의 여성 혐오는 극으로 치달아 자신의 폭력을 합리화시키며 두 여자의 충격적인 과거를 밝혀내 삶을 송두리째 흔들어버리려 한다."
263,불어라 검풍아 - 감독판,관람객 평점 없음,['액션'],한국,99분,15세 관람가,https://movie-phinf.pstatic.net/20210818_261/1629275473133PUKmI_JPEG/movie_image.jpg?type=m203_290_2,안지혜, 이민지,,2021,04,08,"대한민국 최고의 여성 액션 스타를 꿈꾸는 ‘연희’', 우연히 검술 실력으로 목숨이 좌지우지되는', 기묘한 평행세계로 빠져버린다.', ', 자신을 귀인으로 여기는 세계에서', ‘연희’는 악당을 물리치며 정의 구현을 위해 힘쓴다.', 그러던 어느 날, 진짜 ‘귀검’이 등장하며 사건은 꼬이기 시작하는데..!', ', 쥐어진 한 자루의 검! 진짜 나를 깨워라!"
265,2067,관람객 평점 없음,['SF'],오스트레일리아,114분,12세 관람가,https://movie-phinf.pstatic.net/20210513_298/1620868327998joC5k_JPEG/movie_image.jpg?type=m203_290_2,코디 스밋 맥피, 라이언 콴튼,,2021,06,03,"지구 종말이 도래하고, 산소가 중요한 화폐가 된 서기 2067년.', ‘타임머신’이라고 불리는 일명 ‘크로니컬’이 발명되고,', 407년 뒤, 2474년 미래에서 보낸 메시지가 도착한다.', ', 인류의 마지막 희망, 미래를 구해야만 한다"
267,데빌 인사이드 미,관람객 평점 없음,['공포'],캐나다,76분,청소년 관람불가,https://movie-phinf.pstatic.net/20201015_219/1602727437706ot2OG_JPEG/movie_image.jpg?type=m203_290_2,모건 코한, 캬르탄 휴이트, 록 라포툰,2020,11,30,"코스타리카의 외딴 저택으로 플렉스 여행을 떠난 토비와 친구들.토비의 여자 친구인 제이드는 여행에 어울리지 못하고, 계속 불평만 늘어놓는다.토비의 무관심을 견디다 못한 제이드는 여행지를 벗어나, 낯선 정글 속으로 걸음을 옮기고그곳에서 정체불명의 생명체와 마주치는데..."
269,메가 블리자드,관람객 평점 없음,['공포'],미국,72분,15세 관람가,https://movie-phinf.pstatic.net/20201016_99/1602836311060z3JqD_JPEG/movie_image.jpg?type=m203_290_2,로버트 베를린, 카트리나 맷슨,,2020,12,07,"불치병을 완치하는 전설적인 치료제가 설산에서 발견되었다는 제보를 받고, 마틴 박사는 기약 없는 연구를 떠난다.하지만, 어느 순간 연락이 두절되고 실종된 마틴 박사.그의 동료 스미스는 마틴의 흔적을 쫓아 설산을 찾지만 알 수 없는 이유로 통신이 단절되고,설상가상으로 팀원들은 하나둘씩 정체 모를 존재에게 습격을 당해 죽어가는데..."
270,엽문 리부트 2020,관람객 평점 없음,['액션'],중국,84분,12세 관람가,https://movie-phinf.pstatic.net/20201112_91/1605147283555Hi10b_JPEG/movie_image.jpg?type=m203_290_2,두우항, 원 리 루오신, 왕민덕,2020,11,26,"이소룡의 스승이자 영춘권의 전설적인 고수 ‘엽문’', 그는 젊은 시절 사회의 정의를 지키기 위해 광저우에서 경찰로 복무하던 중', 광저우의 암흑가를 주름 잡던 ‘도끼파’의 방주 ‘삼야’를 살해했다는 누명을 쓴다.', 하지만 ‘삼야’는 친일파를 죽였다는 이유로 암살 당한 것이었고', 그 배후에 부패한 경찰과 광저우를 침공한 일본군이 있음을 알게 된 ‘엽문’은', ‘삼야’의 딸이자 도끼파의 새 당주 ‘청천’과 힘을 합쳐 맞서기로 한다.', 그들의 앞을 막는 일본 상인회 회장 ‘사사키’와 가라데 고수 ‘도쿠가와’!', ‘엽문’은 정의를 위해 모든 것을 거는데…', ', 언제 죽느냐 보다 어떻게 사느냐가 중요하다!', 정의를 위해서 모든 것을 바친 영웅의 이야기가 버라이어티 액션으로 펼쳐진다!"
273,코벤,관람객 평점 없음,['공포'],미국,80분,15세 관람가,https://movie-phinf.pstatic.net/20201022_269/1603356572156kfw1t_JPEG/movie_image.jpg?type=m203_290_2,리즈 고든, 제니퍼 치폴라,,2020,12,,"200년 전, 저주에 걸려 봉인된 마녀신 아슈라. 아슈라의 영혼이 깨어나면, 마녀들은 강력한 힘을 얻을 수 있다.아슈라를 깨우는 의식을 치르던 중 마녀 한 명이 죽자 남은 마녀들은 빈자리를 채우기 위해 새로운 인물을 찾아 나서는데..."
274,돈 스피크,관람객 평점 없음,['공포'],영국,83분,15세 관람가,https://movie-phinf.pstatic.net/20201022_289/1603357329202vooX8_JPEG/movie_image.jpg?type=m203_290_2,스테파니 로지, 라이언 데이비스, 제이크 왓킨스,2020,12,,"심장마비로 쓰러진 아버지를 만나기 위해 아이들과 함께 고향을 찾은 앨런 부부.하지만, 이들을 기다리는 건 사람들이 모두 사라진 텅 빈 마을과 불길한 공기뿐이다무언가 심상치 않은 느낌을 받은 리타와 앨런은 서둘러 도움을 찾아 나서지만곧 정체를 알 수 없는 괴생명체가 이들 가족을 차례대로 습격하기 시작하는데..."
275,아워 미드나잇,관람객 평점 없음,['드라마'],한국,77분,12세 관람가,https://movie-phinf.pstatic.net/20211026_289/16352349513576xxlx_JPEG/movie_image.jpg?type=m203_290_2,이승훈, 박서은, 임영우,2021,11,11,"학교 연습실과 옥탑방을 오가며 반 백수처럼 지내는 무명배우 지훈.', 사내연애를 하던 중 말 못할 사건을 겪고 속앓이 하는 직장인 은영.', 지훈이 한강 비밀 순찰 아르바이트를 시작한 날, 두 사람은 우연히 처음 만난다.', 한가로운 밤 산책이 위로가 되는 시간, 같이 걸을래요?"
278,무협강호,관람객 평점 없음,['액션'],중국,105분,12세 관람가,https://movie-phinf.pstatic.net/20201112_211/1605164247687gjeks_JPEG/movie_image.jpg?type=m203_290_2,한금명, 허영지, 유을동,2020,11,13,"상나라 말기 탐욕스러운 왕비 ‘소달기’는그녀에게 위협이 되는 축융족 가문의 몰살을 명령한다.‘소달기’의 정체를 의심하던 왕숙 ‘비간’은 그녀를 암살하려 하지만주모자라는 사실이 들통나면서 죽음으로 내몰리게 된다.그는 축융족의 숨겨진 후손 ‘운언’을 찾아가 마지막 부탁을 남기고‘운언’은 이내 자신이 세상을 구할 유일한 희망임을 깨닫는다.어둠을 밝힐 마지막 희망이여,전설의 검을 깨워 무너져가는 세상을 구하라!"
279,해피 데스데이: 악마의 큐피드,관람객 평점 없음,['공포'],미국,83분,청소년 관람불가,https://movie-phinf.pstatic.net/20201012_38/1602490532069Cel85_JPEG/movie_image.jpg?type=m203_290_2,조지나 제인, 마이클 오우수,,2020,11,30,"[""전교생으로부터 왕따를 당하는 소녀 '페이'., 특히, 같은 학년 엘리스는 부모님 사이의 문제로 페이를 더 심각하게 괴롭힌다.어느 날, 친구들이 모여 있는 장소에서 공개적으로 페이에게 망신을 준 엘리스.참다못한 페이는 학교의 괴담처럼 내려오는 악마의 주문을 외우고,이후 학교에서 공포스러운 사건들이 발생하는데..."
280,사라져버린,관람객 평점 없음,"['액션', '공포', '스릴러']",미국,114분,15세 관람가,https://movie-phinf.pstatic.net/20201012_284/1602468229034kDYd3_JPEG/movie_image.jpg?type=m203_290_2,앤 헤이시, 토마스 제인, 제이슨 패트릭,2021,01,11,캠핑카를 타고 다니며 가족 여행중인 폴과 웬디 가족. 언제나처럼 한적한 마을의 가족 캠핑장 에서 머무르던 중 외동딸 테일러가 갑자기 사라진다. 보안관과 마을 사람들을 총동원한 수색에도 흔적조차 나오지 않는다. 폴과 웬디는 주변 사람들의 수상한 모습들을 발견하고 직접 아이를 찾기 시작한다. 그리고 그 마을에 숨겨진 무시무시한 비밀을 알게 되고 딸을 찾기 위한 목숨을 건  싸움을 시작한다.
294,컴백 트레일,관람객 평점 없음,"['코미디', '범죄']",미국,103분,15세 관람가,https://movie-phinf.pstatic.net/20210930_177/1632991761917U3O4J_JPEG/movie_image.jpg?type=m203_290_2,로버트 드 니로, 토미 리 존스, 모건 프리먼,2021,10,07,사체업자에게 돈을 빚진 영화 제작자 ‘맥스’는 목숨을 구제하기 위해 한물간 영화배우 ‘듀크’를 이용해 촬영 사고로 보험금을 타내려 한다.하지만 듀크는 맥스가 만들어 논 사고를 기상천외하게 빠져나가고 보험사기 계획은 물거품이 되고마는데…
297,이스케이프 큐브,관람객 평점 없음,"['공포', 'SF', '드라마']",프랑스,90분,청소년 관람불가,https://movie-phinf.pstatic.net/20210728_125/1627432870202xVV6v_JPEG/movie_image.jpg?type=m203_290_2,가이아 와이즈, 피터 프란젠,,2021,07,29,눈을 뜨니 비좁은 통로 안에 갇혀버린 리사.살기 위해선 함정을 피해 빠르게 탈출해야 한다.정해진 시간 내에 나가지 못한다면 그녀는 죽을 수밖에 없는 운명.딸의 환영까지 뿌리치며 그녀가 무조건 해야 할 것은 탈출!과연 그녀는 무사히 통로를 탈출할 수 있을까?
298,퍼펙트 머더: 와이 우먼 킬,관람객 평점 없음,['스릴러'],미국,104분,전체 관람가,https://movie-phinf.pstatic.net/20210804_31/1628064747963Ffkpc_JPEG/movie_image.jpg?type=m203_290_2,나자라 타운젠드, 브레어 그랜트,,2021,09,,"[""평범하고 실력 좋은 미용사 '클레어'는, 밤이 되면 잔혹한 살인을 저지르는 양면의 모습을 감춘 채 살아가고 있다.어느 날, 단골손님인 '올리비아'에게 강한 호감을 느낀 클레어는 평소에 하지 않던 출장까지 승낙하고, 그녀와 더 친해지기 위해 용기 내어 결혼 축하 파티도 참석하지만 상황은 뜻대로 흘러가지 않는다.어떻게든 바로잡으려 노력할수록 더 어긋나기만 하는 관계에 클레어의 집착도 뒤틀리기 시작하는데..."
299,맥스 피스트,관람객 평점 없음,"['액션', '범죄', '모험']",미국,90분,15세 관람가,https://movie-phinf.pstatic.net/20210302_294/16146673022866JHmc_JPEG/movie_image.jpg?type=m203_290_2,조 맨가니엘로, 스카이랜 브룩스, 글렌 하워튼,2021,03,11,"다른 차원의 행성에서 지구로 추락한 히어로 맥스 피스트. 지구로 떨어지며 힘까지 잃은 그의 말을 믿어주는 존재는 ‘햄스터’라는 소년뿐이다. 그러던 중 ‘햄스터’와 유일한 가족인 그의 누나 ‘인디고’가 마약 범죄 조직에 연루되며 목숨을 잃게 생기고, 맥스 피스트는 다시 한번 범죄와 싸워 이겨야 한다."
300,검은 사제들: 지옥의 문,관람객 평점 없음,['공포'],미국,88분,15세 관람가,https://movie-phinf.pstatic.net/20200918_203/1600391950200Lpa8b_JPEG/movie_image.jpg?type=m203_290_2,토빈 벨, 랜디 셸리,,2020,11,02,"쌍둥이 남매인 스티븐과 미셸은 6년 전에 아버지가 실종되면서 힘든 시간을 보낸다. 미셸은 신앙심으로 과거를 이겨냈지만, 여전히 방황 중인 스티븐은 가족들을 걱정시키고 학교에서 따돌림까지 당한다. 그러던 중 외할아버지인 조지프가 교회에서 부제 서품을 받게 되면서, 이들에게 기이한 사고들이 발생하는데..."
301,지옥의 오르페,관람객 평점 없음,['공연실황'],독일,145분,청소년 관람불가,https://movie-phinf.pstatic.net/20201020_19/1603159008693rCPix_JPEG/movie_image.jpg?type=m203_290_2,마르셀 비크만, 마틴 윙클러, 조엘 프리토,2020,10,25,"유명 음악가 오르페우스와 아름다운 에우리디케는 오랜 결혼 생활 끝에 심한 권태를 느낀다. 서로 다른 사람과 바람을 피던 것이 발각되고 부부 싸움 끝에 남편이 풀어놓은 독사에 물려 에우리디케는 죽음을 맞는다. 헤어짐에 기뻤던 것도 잠시, 오르페우스 앞에 여론이 등장하여 죽은 아내를 저승에서 데려오는 것이 바람직하다고 충고하고, 그는 아내를 돌려받기 위해 여정을 떠난다."
302,스토커 광기의 살인,관람객 평점 없음,"['공포', '스릴러']",헝가리,85분,청소년 관람불가,https://movie-phinf.pstatic.net/20201026_276/1603674527160bnvJO_JPEG/movie_image.jpg?type=m203_290_2,트레버 피터슨, 페르시아 화이트, 케이틀린 제라드,2020,11,16,"‘에이미와 외계인’이라는 작품으로 시즌 3까지 인기를 몰았던 작가 겸 제작자인 젭은 시즌 4에서 처참하게 흥행에 실패한다.아이들의 눈높이에 맞추기보다는 작품의 질을 더 높이 생각하는 젭은 새로운 시즌작에 관한 고민이 깊어지고 상사는 마지막 기회를 준다.시즌 5의 흥행을 위해 추가된 다양한 작가들과 함께 스키 리조트에 모여 새로운 작품을 만들기 위해 노력하는 젭.하지만 이것은 젭의 위대한 작품을 위한 하나의 속임수일 뿐, 집 안에 숨겨둔 카메라로 모든 장면을 담고 녹화를 하는데…과연 희생을 담은 위대한 작품은 완성될 수 있을까?"
303,터키쉬 아이스크림,관람객 평점 없음,"['드라마', '전쟁', '코미디']",터키,123분,15세 관람가,https://movie-phinf.pstatic.net/20201027_296/1603780108441nQtk8_JPEG/movie_image.jpg?type=m203_290_2,알리 아타이, 에르칸 콜칵 코스텐딜, 차나이 쿠차란,2020,11,12,"오랜 전쟁으로 호주에 정착한 터키 이주민 ‘메멧’, ‘알리’, ‘살림’은동네에서 알아주는 얼간이들로 한량처럼 하루를 살아간다.하지만, 전 세계 공기의 흐름이 순식간에 급변하고호주에 있는 영국 군인들은 그들의 고향인 오스만 제국을 향해 총구를 겨누기 시작한다.세 얼간이들은 국가를 위해, 가족을 위해자신들만의 방식으로 유쾌하고 특별한 반란을 시작하는데…“터키 아이스크림! 찰지고 쫀득한 터키 아이스크림이요!”"
305,포이즌 로즈,관람객 평점 없음,['스릴러'],미국,97분,15세 관람가,https://movie-phinf.pstatic.net/20210709_235/1625820006754LS5W8_JPEG/movie_image.jpg?type=m203_290_2,존 트라볼타, 모건 프리먼,,2021,07,28,"1978년, LA에서 활동하는 사립 탐정 ‘카슨’(존 트라볼타).', 자신의 고향이었던 텍사스 쪽에 의뢰를 받고 조사에 착수한다.', 내용은 바로 요양원에 있는 한 여성을 찾아달라는 것.', 오랜만에 찾은 고향 텍사스에서 텍사스 최대의 브로커가 된 ‘닥’(모건 프리먼)과 마주하고,', 조사하면 할수록 사건에 ‘닥’과 텍사스 주민들이 연루되어 있다는 걸 알게 되는데…', ', 암묵적 살인, 완벽한 범죄', 상상할 수 없는 일이 현실이 된다"
310,아이 빌리브,관람객 평점 없음,['드라마'],미국,89분,전체 관람가,https://movie-phinf.pstatic.net/20201022_271/1603334316864GIFQv_JPEG/movie_image.jpg?type=m203_290_2,로완 스미스, 맷 린드퀴스트, 윌포드 브림리,2020,11,05,아홉 살 소년을 통해 하나님이 없다고 말하는 사람들에게 보여주시는 믿음의 기적!오로지 기도와 믿음으로만 이뤄낸 꿈만 같은 이야기가 펼쳐진다!
312,라이어트: 기계들의 역습,관람객 평점 없음,"['액션', 'SF', '전쟁']",미국,88분,15세 관람가,https://movie-phinf.pstatic.net/20201214_179/1607925540496r9KKf_JPEG/movie_image.jpg?type=m203_290_2,라이언 메리먼, 제이미 코스타, 새라J. 바솔로뮤,2020,12,23,"실력 있는 엘리트 군인들은 낯선 구역 안에서 깨어나게 되고 ', 그들은 이곳에 어떻게 왔는지 전혀 기억하지 못한다. ', 그들과 마주친 인공지능이 탑재된 기계들은 인간의 통제를 거부하고 무차별 공격과 반란을 일으키게 된다. ', ', 인간과 기계의 전투에서 과연 군인들은 어떻게 살아남을 수 있을 것인가?"
313,엠티맨,관람객 평점 없음,"['공포', '미스터리']",미국,137분,15세 관람가,https://movie-phinf.pstatic.net/20201112_113/1605146903321QDQTx_JPEG/movie_image.jpg?type=m203_290_2,제임스 뱃지 데일, 마린 아일랜드, 스티븐 루트,2020,11,19,"10대 아이들의 연이은 실종사건으로 공포에 빠진 마을.은퇴한 전직 경찰 제임스(제임스 뱃지 데일)는 친구의 딸 아만다(사샤 프롤로바)의 실종에 의문을 품고 사건을 조사하기 시작한다. 그는 사건을 파헤치던 중, 전설로 기록된 공포의 존재 ‘엠티맨’과 그를 추종하는 비밀 단체가 아이들의 실종에 연루되어 있음을 깨닫게 된다. 엠티맨의 실체에 다가설수록 목숨마저 위협당하는 공포와 마주하게 되는데….."
314,전쟁,관람객 평점 없음,"['액션', '모험', '스릴러']",미국,91분,15세 관람가,https://movie-phinf.pstatic.net/20201102_248/1604308917066pVlj9_JPEG/movie_image.jpg?type=m203_290_2,가이 피어스, 데본 사와, 브랜스콤비 리치몬드,2020,12,30,미국 남부의 작은 마을 호스 케이브과거 자신의 실수로 동료를 잃었다고 생각하며 트라우마를 안고 살아가는 보안관 ‘짐 딜런’은은행털이 강도단과 서로의 목적을 향해 사투를 벌인다. 강도단은 사전에 철저한 계획을 세운 뒤 마을을 봉쇄하고 호스 케이브를 지키려는 마을 사람들을 향해 무자비한 총격을 가한다. 강도단은 최종 목표물인 현금 수송차까지 손에 넣게 되고 ‘짐’과 신참 보안관 ‘맷’은 서로 다른 위치에서 마을을 구할 작전을 펼치게 되는데..호스 케이브를 살릴 수 있는 마지막 기회!보안관과 강도단의 목숨을 건 사투가 벌어진다!
315,인플루언서,관람객 평점 없음,['다큐멘터리'],한국,106분,전체 관람가,https://movie-phinf.pstatic.net/20201116_214/1605517130119RvpcN_JPEG/movie_image.jpg?type=m203_290_2,이유빈, 지윤미, 강지혜,2020,11,25,"그들의 팔로워 구독자를 합하면 무려 100만명이 넘는다!!각자의 분야에서 대한민국을 대표하는 4명의 인플루언서들이 한자리에 모였다!인스타그램 팔로워 20만명!한 아이의 엄마이자, 요즘 잘나가는 화장품 브랜드의 대표인 대한민국의 슈퍼 워킹맘!이유빈.인스타그램 팔로워 21만명!밝고 털털한 성격과 구수한 사투리의 입담으로 친근한 언니 같지만헤어디자이너 분야에선 카리스마 넘치는 프로페셔널한 그녀!강지혜.인스타그램 팔로워 40만 명!과거 얼짱시대 방송으로 데뷔한 이후,대중들에게 많은 관심을 쏟아내며, 머리부터 발끝까지 스타일리쉬한 매력넘치는 그녀!지윤미.유튜브 구독자 30만 명!남자들의 형님! 남자들의 워너비!터미네이터 같은 근육질 몸매와 야생마 같은 마초의 매력을 지닌 무자비한 그 남자!야생마(본명 : 주경진)강한 이미지에 화려하게만 보이는 그들의 외적인 모습 보다는,따뜻하고 사랑 넘치는 그들의 내면의 모습을 보고 나면 그들의 매력에 점점 더 빠져 든다!"
317,스페셜 솔져,관람객 평점 없음,['액션'],폴란드,86분,15세 관람가,https://movie-phinf.pstatic.net/20201106_150/1604643359025U9n4e_JPEG/movie_image.jpg?type=m203_290_2,딜런 부르스, 세르게이 바드육,,2020,12,,"임무를 수행하던 중 팀원을 잃은 ‘존 카터’마음에 상처를 안고 전역한 그에게 상사였던 ‘앤더슨 소장’이 나타난다. 다시 한번 원수를 만날 기회를 제안하고, 새로운 임무와 새로운 팀원들을 다시 만나게 되는데..‘존 카터’는 이번엔 기필코 팀원만큼은 무사 귀환을 다짐한다.임무 수행 중 결국 ‘이고르 로딘’과 맞닥뜨리게 되고, 그동안 숨겨왔던 비밀이 하나둘 드러나기 시작하는데.."
321,런 런 런,관람객 평점 없음,['공포'],미국,72분,15세 관람가,https://movie-phinf.pstatic.net/20201126_92/1606375785960mSuE5_JPEG/movie_image.jpg?type=m203_290_2,젬마 할로 딘, 라이언 길크스,,2020,12,,"[""범죄 조직의 운반책 '코먼'은 어느 날, 의문의 사람에게 중요한 가방을 전달하라는 임무를 받는다., 코먼은 수갑으로 팔과 가방이 연결된 채 파트너인 지미의 차를 타고 목적지로 가던 길에 허허벌판에서 차량이 전복되는 큰 사고를 당한다.정신을 차려 보니 지미는 사망했고, 코먼은 한쪽 다리가 차 밑에 깔려 옴짝달싹할 수가 없다.바로 그때, 코먼의 손목에 연결된 가방을 노리는 범죄 조직이 거리를 점점 좁혀 오고설상가상으로 숲속 깊은 곳에서는 정체를 알 수 없는 괴물이 코먼을 위협하는데..."
325,레컨,관람객 평점 없음,"['전쟁', '액션']",미국,95분,15세 관람가,https://movie-phinf.pstatic.net/20210208_112/1612748791504bs9H4_JPEG/movie_image.jpg?type=m203_290_2,알렉산더 루드윅, 프랑코 네로, 샘 킬리,2021,02,25,"2차 세계대전이 끝나갈 무렵마지막 임무를 위해 전진하는 부대원들에게매복, 저격수 그리고 지뢰가 기다린다.산 위에 주둔한 독일군을 정찰하는 부대원들은자실 임무인 것을 깨닫고, 마지막 전투를 준비하는데…"
326,배틀로얄 : 매드랜드,관람객 평점 없음,"['액션', '스릴러']",일본,97분,15세 관람가,https://movie-phinf.pstatic.net/20210121_275/16111932435455hQQy_JPEG/movie_image.jpg?type=m203_290_2,아사카와 나나,,,2021,06,24,"다시 시작된 죽음의 생존 게임.', 살기 위해 친구를 죽여야 하는 생존 게임에서', 모에는 최대한 친구들을 희생 시키 않으려 노력한다.', 하지만 결국 모에는 타깃이 되어 죽음의 위기에 처한다.', 하지만 마지막 순간,', 모에는 모두를 깜짝 놀라게 할 선택을 하는데…"
