구원받은 도둑,관람객 평점 없음,['드라마'],미국,93분,2021.10.28,"['제이 지앤넌', '스텔리오 사반트']",12세 관람가,https://movie-phinf.pstatic.net/20211025_295/1635144523476p5bgo_JPEG/movie_image.jpg?type=m203_290_2,['어린 소년 디스마스는 어머니를 잃고 동생 요담과 함께 사막을 떠돌다 한 도적 무리를 만나 그들과 함께 오랜 시간을 도적질로 일생을 보내다. 어느 날 형제는 로마 군사에게 체포되어 죄값으로 죽음을 마주하고 함께 십자가에 못박힌 예수를 보며 위대한 고백을 하는데…']
케이지드,관람객 평점 없음,"['스릴러', '드라마', '공포', '범죄']",미국,80분,2021.11.11,"['에디 가테지', '멜로라 하든']",15세 관람가,https://movie-phinf.pstatic.net/20211103_62/1635915325328vK4D6_PNG/movie_image.jpg?type=m203_290_2,"['정신과 의사 할로우는 아내 앰버를 죽였다는 이유로 무기징역을 선고받고, 독방에 일주일 동안 수감된다. 악명높기로 소문난 색스 교도관은 할로우가 유죄라 확신하고 각종 이유로 할로우의 독방 생활 기간을 연장한다.', <br/>, '\xa0옆방 죄수의 자살과 길어지는 독방 생활 중에도 무죄를 확신하며 억울함을 호소하던 할로우는 자신이 몰랐던 아내의 죽음에 대한 어두운 진실이 있음을 알게 되고….', <br/>, '\xa0', <br/>, '\xa0최후의 순간! 그에게 주어진 시간은 단 1분.', <br/>, '\xa0과연 할로우는 그날의 진실을 마주할 수 있을까?']"
색다른 그녀,관람객 평점 없음,"['멜로/로맨스', '코미디']",한국,108분,2021.10.14,"['혁', '장성윤']",청소년 관람불가,https://movie-phinf.pstatic.net/20211001_27/1633064014267carNI_JPEG/movie_image.jpg?type=m203_290_2,"['여자친구 ‘지연’과 결혼을 앞둔 완벽남 ‘완준’', <br/>, '\xa0', <br/>, '\xa0‘완준’은 사고뭉치 선배로부터 받은 부탁으로', <br/>, '\xa0‘지연’에게도 말 못 할 은밀한 비밀을 갖게 된다.', <br/>, '\xa0', <br/>, '\xa0어느 날, ‘완준’은 ', <br/>, '\xa0자신을 짝사랑하는 직장동료 ‘예리’에게', <br/>, '\xa0이 사실을 들키게 되고,', <br/>, '\xa0그녀와 뜻밖의 계약을 맺게 되는데…', <br/>, '\xa0', <br/>, '\xa0갑자기 꼬여버린 인생!', <br/>, '\xa0무사히 결혼에 골인할 수 있을까?!']"
불청객들,관람객 평점 없음,"['공포', '액션']",러시아 연방,87분,2021.09.27,['15세 관람가'],['전체 관람가'],https://movie-phinf.pstatic.net/20210830_161/1630291252063xVnc9_JPEG/movie_image.jpg?type=m203_290_2,"['젊은 카티야는 다른 사람들의 빈 집에서 파티를 열면서 살고 있다. ', <br/>, '\xa0그러던 중 해안에 있는 오래된 여름 별장을 발견한다. ', <br/>, '\xa0지난 세기 초의 정신병원이기도 했던 이곳은 젊고 혈기 왕성한 파티 피플들에게 훌륭한 선택인 것 같다. ', <br/>, '\xa0하지만 파티 도중에 그 집의 신비한 주인이 나타나고 피할 수 없는 죽음이 찾아오는데…']"
바바 야가 검은 가시 마녀,관람객 평점 없음,"['공포', '액션']",러시아 연방,86분,2021.10.05,['15세 관람가'],['전체 관람가'],https://movie-phinf.pstatic.net/20210830_5/16302921253941NgYL_JPEG/movie_image.jpg?type=m203_290_2,"['세인트 페테스부르크 북쪽의 빽빽하고 불길한 검은 가시나무 숲. ', <br/>, '\xa0지난 30년 동안 수많은 사람들이 실종되었고 발견된 몇 구의 시체는 ', <br/>, '\xa0발가벗겨진 상태였다. ', <br/>, '\xa0지역 주민들은 가시 나무숲에 과거 잔혹하게 살해당한 검은 가시 마녀의 저주라고 믿고 있다. ', <br/>, '\xa02017년 10월 14일 산림 감시 자원봉사 팀은 실종된 10대를 찾기 위해 ', <br/>, '\xa0바로 그 숲으로 들어갔고 모든 의사소통이 끊겼다. ', <br/>, '\xa0생존을 위한 처절한 몸부림과 미지의 존재와의 사투가 피 말리는 공포와 함께 벌어진다.']"
F20,관람객 평점 9.50점,['스릴러'],한국,104분,2021.10.06,"['장영남', '김정영', '김강민']",15세 관람가,https://movie-phinf.pstatic.net/20210928_86/16327951839736fzkS_JPEG/movie_image.jpg?type=m203_290_2,"['어디에 내놔도 자랑스러운 아들을 둔 엄마 ‘애란’은', <br/>, '\xa0군 생활을 떠났던 아들 ‘도훈’에게', <br/>, '\xa0조현병이 발병했다는 충격적인 소식을 듣게 된다.', <br/>, '\xa0', <br/>, '\xa0완벽했던 자신의 일상을 빼앗길까 두려운 ‘애란’은', <br/>, '\xa0아들의 병을 숨긴 채 살아가기로 결심하고', <br/>, '\xa0', <br/>, '\xa0그러나, 순조로울 것만 같았던 그녀의 삶에', <br/>, '\xa0유일한 비밀을 알고 있는 ‘경화’가 나타나자', <br/>, '\xa0‘애란’의 불안은 점점 광기로 변해가는데…', <br/>, '\xa0', <br/>, '\xa0가장 날카롭고 충격적인 영화가 온다!']"
여대괴담,관람객 평점 없음,"['공포', '스릴러']",중국,88분,2021.09,"['전계문', '강호문']",15세 관람가,https://movie-phinf.pstatic.net/20210831_72/1630372947127FXtNk_JPEG/movie_image.jpg?type=m203_290_2,"['어릴 적 장애로 인해 언어치료사의 꿈을 갖고 있었던 이진흔은 대학 시험을 망치는 바람에 집에서 멀리 떨어진 외딴 대학 언어치료학과에 입학을 하게 된다. 기숙사 3층을 홀로 쓰게 된 진흔은 밤마다 계속되는 이상한 소리에 시달리는데... 그러던 어느 날 방에 숨어 들어온 유미라는 학생과 친구가 된다. 학교에서 만난 친구들은 모두가 까칠하게 굴었지만, 유미는 그들과 달리 진흔에게 살갑게 굴고 같이 시간을 보내면서 금세 친해진다. 그러나 학교에서는 계속 이상한 일들이 일어나고, 유미는 그때마다 진흔을 구해주는데...']"
우리가 죽기를 바라는 사람들,관람객 평점 없음,['스릴러'],미국,102분,2021.09,['시옵한 폴론'],['전체 관람가'],https://movie-phinf.pstatic.net/20210903_95/1630636189023FPfU2_JPEG/movie_image.jpg?type=m203_290_2,"['올해 대학에 입학한 첫째 아들 지미의 클럽 활동과 기상 시간까지 챙기는 바바라는 네 아이의 엄마다.\r', <br/>, '\xa0어느 날, 대학 클럽 신고식에서 지미가 사망하는 사고가 발생하지만 어느 누구도 책임지려 하지 않는다.\r', <br/>, '\xa0긴 시간을 침묵으로 기다린 바바라는 잠시 집안일을 미뤄 둔 채 지미를 위한 프로젝트를 시작하는데...']"
강릉,관람객 평점 8.36점,"['범죄', '액션']",한국,119분,2021.11.10,"['유오성', '장혁', '박성근']",청소년 관람불가,https://movie-phinf.pstatic.net/20211108_295/1636363035383sHbbs_JPEG/movie_image.jpg?type=m203_290_2,"['강릉 최대 조직의 ‘길석’\r', <br/>, '\xa0평화와 의리를 중요시하며 질서 있게 살아가던 그의 앞에\r', <br/>, '\xa0강릉 최대 리조트 소유권을 노린 남자 ‘민석’이 나타난다\r', <br/>, '\xa0\r', <br/>, '\xa0첫 만남부터 서늘한 분위기가 감도는 둘,\r', <br/>, '\xa0‘민석’이 자신의 목표를 위해 본격적으로 움직이기 시작하면서\r', <br/>, '\xa0두 조직 사이에는 겉잡을 수 없는 전쟁이 시작되는데..\r', <br/>, '\xa0\r', <br/>, '\xa0거친 운명 앞에 놓인 두 남자\r', <br/>, '\xa0그들의 이야기가 시작된다']"
뷰티풀 다크니스,관람객 평점 없음,"['드라마', '멜로/로맨스']",미국,93분,2021.09,"['섀넌 타벳', '에이단 터너', '벤자민 워커']",15세 관람가,https://movie-phinf.pstatic.net/20210818_26/1629264123119fRKBg_JPEG/movie_image.jpg?type=m203_290_2,"[""'선택적 지각 오류'라는 증상으로 살아 있는 어머니의 존재를 인식하지 못한 채 살고 있는 엘리자베스.\r"", <br/>, '\xa0어느 날, 남자친구이자 심리학자인 파머의 사무실에 갔다가\r', <br/>, '\xa0자신이 인식하지 못하는 또 다른 존재가 있다는 걸 알게 되면서 엘리자베스는 혼란에 빠지는데...']"
