,title,vote,country,time,open_date,grade,poster_path,genre_1,genre_2,genre_3,genre_4,actor_1,actor_2,actor_3,content
31,건담 G의 레콘기스타 2: 벨리 격진,관람객 평점 없음,일본,94분,2021.08.06,12세 관람가,https://movie-phinf.pstatic.net/20210730_26/1627610398305yge1y_JPEG/movie_image.jpg?type=m203_290_2,애니메이션, SF, 액션,,이시이 마크, 시마무라 유우, 후쿠이 유카리,"벨리 일행을 구출하기 위해 출격한 ‘델렌센’이 해적 부대의 메가파우나를 급습한다.', <br/>싸움의 상대가 자신의 스승 ‘델렌센’임을 깨닫지 못한 채 G-셀프 안에서 치열하게 맞서 싸우는 ‘벨리’.', <br/>한편, G-셀프 기체와 함께 ‘라라이야 먼데이’까지도 노리고 있는 캐피털 아미는 마스크 부대를 연이어 출격시킨다.', <br/>그 배후에 있는 위협적인 존재는 과연 무엇이며, ‘벨리’와 ‘아이다’는 캐피털 아미를 막아낼 수 있을 것인가?"
32,드라큘라 2021,관람객 평점 없음,아르헨티나,85분,2021.08.05,전체 관람가,https://movie-phinf.pstatic.net/20210705_262/1625469196242m2MiM_JPEG/movie_image.jpg?type=m203_290_2,공포,,,,제라르도 로마노,,,"세실리아와 마르틴 모자는 교통사고를 당했다. ', <br/>사고 발생 사흘째, ', <br/>그녀는 혼자 아들을 찾아 헤매고 있지만 실마리조차 없다. ', <br/>그러던 중 최근 3일간 발생한 의문의 살인 사건들에 자신 ', <br/>그리고 미지의 존재가 연관된 것을 느끼게 된다. ', <br/>결국 살육의 주범을 찾던 그녀 앞에 상상을 초월한 ', <br/>거대한 태초의 악이 나타난다."
33,위 윌 락 유,관람객 평점 없음,미국,107분,2021.07,전체 관람가,https://movie-phinf.pstatic.net/20210705_272/1625472891271MhCXb_JPEG/movie_image.jpg?type=m203_290_2,뮤지컬,,,,브라이언 바움가트너,,,"크리스천 록이 열풍을 일으키던 1986년 여름<br/>10대 소년 마이클과 친구들은 크리스천 메탈 밴드 3:16을 결성한다.<br/>이들의 뛰어난 실력 덕분에 밴드는 금세 유명세를 얻게 되고, 유명 밴드 매니저 출신의 스킵이 지방 순회공연을 제안한다.<br/>교회와 캠프를 중심으로 공연을 하며 점점 더 큰 인기를 누리게 된 친구들. 하지만, 새로운 멤버 영입 문제로 다툼이 발생하는데..."
38,스페셜 포스 전랑,관람객 평점 없음,중국,72분,2021.07,15세 관람가,https://movie-phinf.pstatic.net/20210628_46/1624868498168Y7GII_JPEG/movie_image.jpg?type=m203_290_2,판타지, 액션,,,진성욱,,,"강납시 공안 특경대들이 임무 수행 중에 습격을 받아 한 명은 사망하고 나머지 셋은 부상당한 채 납치를 당한다. 범인은 검은 조직 풍구파의 우두머리 풍구성으로, 그의 목적은 감옥에 있는 동생 풍구량과 인질들을 교환하는 것이다. 특경대 대장 소극은 이번 임무를 맡게 되었지만 별다른 진전을 보이지 못한다. 그러던 와중 지난번 풍구파 소탕 작전에서 군기를 어기고 특전사를 전역한 주양이 그의 앞에 나타난다. 풍구성으로 인해 중대장을 잃은 주양은 풍구성을 잡고 싶다며 작전에 참가 의지를 밝힌다."
39,다크 스펠,관람객 평점 없음,러시아 연방,92분,2021.09.02,청소년 관람불가,https://movie-phinf.pstatic.net/20210830_18/1630313073309weuuD_JPEG/movie_image.jpg?type=m203_290_2,멜로/로맨스, 공포,,,야나 옌자예바, 콘스탄틴 벨로샤프카, 일리야 예르몰로프,"“우리를 두 양초처럼 얽히게 해 주세요<br/>첫 번째 초는 당신 것, 두 번째 초는 내 것<br/>당신은 내 것, 나는 당신의 것”<br/><br/>사랑하는 남자에게 버림받은 제냐.<br/>그의 마음을 되돌리기 위해 ‘검은 결혼식’이라는 주문을 걸고 사랑을 되찾는다.<br/>하지만 그녀를 향한 그의 사랑은 점점 광적인 집착을 보이는데…"
40,서유기: 재세요왕,관람객 평점 없음,중국,95분,2021.09.30,전체 관람가,https://movie-phinf.pstatic.net/20210927_208/1632721865632KClqK_JPEG/movie_image.jpg?type=m203_290_2,애니메이션,,,,최승훈, 윤세웅, 서정익,"삼장법사에 의해 오행산 기슭에서 구출된<br/>‘손오공’은 과오를 뉘우치고 경전을 배우기 위해 서역으로 길을 떠난다.<br/><br/>긴 여정의 길, 배고픔을 주체하지 못한 ‘손오공’과 친구들은<br/>만년의 한번씩 열린다는 인삼과 열매를 몰래 따먹게 되고<br/><br/>설상가상 신선수라 여기는 인삼과 나무를 파괴해 버리자<br/>나무 아래 봉인되어 있던 요괴의 왕 ‘원체’가 깨어나고만다.<br/>세상은 혼란에 휩싸이고, 요괴들은 날뛰기 시작하는데..<br/><br/>‘손오공’, 전설에 맞서 세상을 구할 수 있을 것인가!"
43,공작조: 현애지상,관람객 평점 없음,중국,120분,2021.09.16,15세 관람가,https://movie-phinf.pstatic.net/20210917_12/1631847362405tvt9o_JPEG/movie_image.jpg?type=m203_290_2,범죄, 드라마, 스릴러,,장한위, 위허웨이, 주아문,"냉전이 감도는 1931년 중국, <br/>소련에서 훈련을 받고 돌아온 4명의 특수요원은<br/>작전명 ‘새벽’이라는 비밀 임무에 착수한다.<br/><br/>순조로울 것만 같았던 그들의 작전은<br/>한 반역자에 의해 위협에 휩싸이게 되고<br/><br/>그 누구도 믿을 수 없는 일말의 상황 속, <br/>이들의 숨통은 점점 조여오기 시작하는데..<br/><br/>1931년, 암호명 ‘새벽’<br/>조국을 위한 이들의 작전이 시작된다!"
46,신 강시선생,관람객 평점 없음,중국,78분,2021.08,15세 관람가,https://movie-phinf.pstatic.net/20210715_85/1626336755323L7t3E_JPEG/movie_image.jpg?type=m203_290_2,공포, 액션, 스릴러,,전소호, 서소강,,배고픈 귀신들을 위한 귀신절에<br/>갑자기 출몰한 강시들로<br/>마을은 위기에 빠지게 된다.<br/><br/>혼비백산이 된 마을을 구하기 위해<br/>사투를 벌이는 퇴사마 ‘하오’는<br/>이 사태에 무시무시한 음모가<br/>숨겨져 있다는 것을 밝혀내는데…<br/><br/>역대급 퇴마 호러액션이 온다!
47,콰이어트 존,관람객 평점 없음,영국,80분,2021.07,전체 관람가,https://movie-phinf.pstatic.net/20210609_281/1623202674081c0p7P_JPEG/movie_image.jpg?type=m203_290_2,스릴러,,,,수지 프란시스 가튼,,,"오랜 시간 해외에서 군 생활을 한 마틴은 크리스마스를 맞아 고향에서 가족과 함께 시간을 보낸다.<br/>그해 겨울, 고향의 연례 전통 축제인 '드로빙' 하루 전날에 여동생 메건이 실종되는 사건이 발생한다., <br/>1년 후, 우연히 메건의 친구 테스를 만난 마틴.<br/>테스에게서 집단 종교 단체 이야기를 듣게 된 마틴은 동생의 실종 사건과 연관되어 있다고 느끼는데..."
48,피어 오브 레인,관람객 평점 없음,미국,109분,2021.07.22,15세 관람가,https://movie-phinf.pstatic.net/20210716_205/1626417712090wldC2_JPEG/movie_image.jpg?type=m203_290_2,드라마, 공포, 스릴러,,매디슨 아이스먼, 이스라엘 브로우사드, 캐서린 헤이글,"정신분열증을 앓고 있는 10대 소녀 ‘레인’<br/>어느 날, 옆집에 살고 있는 학교 선생님의 다락방에 감금되어 있는 어린 소녀를 보고 납치라고 의심하기 시작한다.<br/>누구도 그녀의 말을 믿어주지 않지만 유일하게 전학생 ‘케일럽’만이 그녀를 믿고 도와준다.<br/>‘레인’은 진실을 파헤치기 위해 몰래 옆집으로 들어가게 되는데…!<br/>과연 소녀의 정체는 무엇일까?"
