25,울림의 탄생,10.00,한국,96분,https://movie-phinf.pstatic.net/20210930_180/16329839721176N4Uk_JPEG/movie_image.jpg?type=m203_290_2,임선빈, 임동국,,2021,10,21,"소아마비 고아. 한쪽 귀의 청력마저 상실한 그를 품어 준 북 만드는 장인.', 이 각박한 세상에서 살아남으려면 북을 만들어야 한다는', 스승의 가르침을 새기며 이 악물고 버텨 온 60년.', ', 이제 일흔을 앞둔 임선빈 악기장은 다른 한쪽 귀의 청력마저', 잃게 될 거라는 비보를 접하고,', 어린 시절 처음 들었던 그 북소리를 담은 대작을 만들기 위해', 23년을 아껴 두었던 나무를 꺼낸다.', ', 그러나 날씨도, 몸도, 전수자인 아들 동국과의 협업도 마음 같지만은 않은데...', ', 60년 동안 그의 머릿속을 떠나지 않았던 첫 북소리의 울림.', 그 울림이 담긴 북을 만들 수 있을까."
26,더 하더 데이 폴,6.56,미국,137분,https://movie-phinf.pstatic.net/20211013_124/1634113091609idAKj_JPEG/movie_image.jpg?type=m203_290_2,조나단 메이저스, 재지 비츠, 이드리스 엘바,2021,10,20,숙적 루푸스 벅이 출소한 사실을 알게 된 서부의 무법자 냇 러브가 미뤄뒀던 복수를 마무리하기 위해 흩어졌던 팀을 모아 그의 뒤를 추격하며 벌어지는 활극을 그린 서부영화
27,경고,6.67,영국,87분,https://movie-phinf.pstatic.net/20210929_51/1632903879538uYp4J_JPEG/movie_image.jpg?type=m203_290_2,벤 캐플란, 조나단 프렌치, 레일라 사익스,2021,10,20,"친구의 부탁으로 조카를 봐주기로 한 아이작. 어마어마한 보수에 수락했지만 기묘한 조건이 붙는다#1. 이동을 제한하는 사슬 조끼를 입을 것#2. 조카의 방에 들어가지 말 것#3. 허락 없이 집을 떠나지 말 것외딴섬에 위치한 미로 같은 집과 석궁을 들고 다니는 조카, 섬뜩한 토끼 인형까지… 이곳에서 미치지 않고 버틸 수 있을까?"
28,한창나이 선녀님,8.63,한국,83분,https://movie-phinf.pstatic.net/20210928_52/1632794575215QfiwE_JPEG/movie_image.jpg?type=m203_290_2,임선녀,,,2021,10,20,"새끼 낳은 소도 돌보고, 지붕에 널어둔 도루묵도 걷어야 하고,', 나무에 올라 감도 따고, 택시 타고 한글 배우러 시내도 나가야 하고.', 강원도 삼척 어느 산속에서 혼자 사는 선녀님은 앉아서 쉴 틈이 없다.', ', 몸이 열 개여도 부족한 선녀님이 또 한번 일을 냈다.', 평생 산 하나 밖에 못 넘어 본 그녀가, 오랫동안 살던 집을 떠나 새집 짓기를 결심하는데…', 또박또박 뚝딱뚝딱 오늘도 바쁜 선녀님의 하루."
29,첫눈이 사라졌다,6.85,폴란드,115분,https://movie-phinf.pstatic.net/20210930_97/1632964867742mU3lX_JPEG/movie_image.jpg?type=m203_290_2,알렉 엇가프, 마야 오스타쉐브스카, 아가타 쿠레샤,2021,10,20,"자신의 특별한 능력을 통해 사람들의 마음 속 슬픔과 갈망을 들여다보는 최면술사 ‘제니아’. 그의 능력은 순식간에 입소문을 타고 폴란드 바르샤바의 한마을이 떠들썩해진다. 모두가 그를 만나고 싶어 혈안이 된 가운데, 미스터리에 감추어진 ‘제니아’의 최면술이 사람들을 사로잡기 시작한다.""당신의 불행과 고통을 몰아내는 중입니다. 제가 셋을 세면 눈을 뜹니다. 하나, 둘, 셋, 탁!"""
30,듄,8.76,미국,155분,https://movie-phinf.pstatic.net/20210915_104/1631681279096sdjNA_JPEG/movie_image.jpg?type=m203_290_2,티모시 샬라메, 레베카 퍼거슨, 오스카 아이삭,2021,10,20,"10191년, 아트레이데스 가문의 후계자인 폴(티모시 샬라메)은 시공을 초월한 존재이자', 전 우주를 구원할 예지된 자의 운명을 타고났다.', 그리고 어떤 계시처럼 매일 꿈에서 아라키스 행성에 있는 한 여인을 만난다.', 모래언덕을 뜻하는 '듄'이라 불리는 아라키스는 물 한 방울 없는 사막이지만"", 우주에서 가장 비싼 물질인 신성한 환각제 스파이스의 유일한 생산지로 이를 차지하기 위한 전쟁이 치열하다.', 황제의 명령으로 폴과 아트레이데스 가문은 죽음이 기다리는 아라키스로 향하는데…', ', 위대한 자는 부름에 응답한다, 두려움에 맞서라, 이것은 위대한 시작이다!"
31,라스트 듀얼: 최후의 결투,9.01,미국,152분,https://movie-phinf.pstatic.net/20210930_23/1632986239409z0czk_JPEG/movie_image.jpg?type=m203_290_2,맷 데이먼, 아담 드라이버, 조디 코머,2021,10,20,"부조리한 권력과 야만의 시대, 14세기 프랑스.유서 깊은 ‘카루주’ 가의 부인 ‘마르그리트’는 남편 ‘장’이 집을 비운 사이,불시에 들이닥친 ‘장’의 친구 ‘자크’에게 씻을 수 없는 모욕을 당한다.용서받지 못할 짓을 저지른 ‘자크’는 ‘마르그리트’에게 침묵을 강요하지만,‘마르그리트’는 자신이 입을 여는 순간 감내해야 할불명예를 각오하고 용기를 내어 ‘자크’의 죄를 고발한다.권력을 등에 업은 ‘자크’는 강력하게 자신의 결백을 주장하고,가문과 자신의 명예를 지키기 위한 ‘장’은승리하는 사람이 곧 정의로 판정 받게 되는 결투 재판을 요청하기에 이른다.‘장’이 결투에서 패할 경우,‘마르그리트’는 즉시 사형에 처해지는 운명에 놓이게 되는데…단 한번의 결투가 세 사람의 운명을 가른다!"
32,타다: 대한민국 스타트업의 초상,8.50,한국,91분,https://movie-phinf.pstatic.net/20211028_31/1635383699962uF7xp_JPEG/movie_image.jpg?type=m203_290_2,박재욱,,,2021,10,14,"한국의 우버로 불리며 폭발적으로 성장하던 모빌리티 플랫폼 타다(TADA).출시한 지 9개월 만에 100만 유저를 확보하며 승승장구하던 중 택시업계의 반발로 법적 공방에 휘말린다.뜨거운 논란 속 치러진 1심에서 무죄 판결을 받은 날, 모든 팀원들은 함께 모여 ‘종이컵 와인 파티’로 자축한다.하지만 그로부터 단 14일 뒤, ‘타다금지법’이 통과됐다는 청천벽력의 소식이 들려오는데...그들은 이 최악의 위기를 뚫고 타다를 새롭게 부활시킬 수 있을까?모빌리티 플랫폼 타다의 이야기로 세상에 공개되는‘스타트업’에 대한 국내 최초의 다큐멘터리 필름"
33,실: 인연의 시작,7.40,일본,130분,https://movie-phinf.pstatic.net/20210913_162/1631511438538bd2g6_JPEG/movie_image.jpg?type=m203_290_2,스다 마사키, 고마츠 나나,,2021,10,14,열두 살에 만난 첫사랑 ‘렌’과 ‘아오이’.한눈에 서로의 상처를 알아보고 보듬어주며두 사람의 인연이 시작된다.함께 있어 즐거웠던 시간도 잠시‘아오이’ 가족이 쫓기듯 떠나면서 헤어지고 만다.“운명의 실’이 있다고 생각해”‘아오이’가 준 소원팔찌를 8년 동안 간직한 ‘렌’.어느 날 소원팔찌가 끊어지고 두 사람은 운명처럼 재회한다.그 후 우연한 만남과 헤어짐이 반복되지만그때마다 서로의 곁에 이미 다른 사람이 있어 엇갈리는데…
34,노회찬6411,9.33,한국,127분,https://movie-phinf.pstatic.net/20211015_214/1634274562303f5do1_JPEG/movie_image.jpg?type=m203_290_2,노회찬,,,2021,10,14,"시커메진 한국 정치의 판을 바꾸고자 했던 사람', 서민의 언어로 그들의 속을 시원하게 대변했던 사람', 함께 비를 맞으며 약자와 공감하고자 했던 사람', 법 앞에 만인이 평등하길 희망했던 사람', 누구나 악기 하나 정도는 다룰 수 있는 사회를 꿈꿨던 사람', 지금 더욱 그리운 이름', 노회찬의 진짜 이야기가 시작된다!"
